OID,ID,DIR,LENGTH,BPHCODE,BPHSEG,AUTHORITY,AUTHCODE,TRAFAUTH,TRAFCODE,STREETNAME,STREETCODE,ROADNAME,START_,LAT_START,LON_START,FINISH,LAT_END,LON_END,BPHDIR,BPHType,Usable,Infra,RoadType,BPHPlace,DirType,DirTraffic,Topology,DIV_Veh,DIV_Walk,Signpost,Parking,Level_,Paint,Trees,TWIDTH,TWIDTHWAY,LENGTH_M,MAX_SLOPE,OPEN_YEAR,LASTCHANGE,Shape_Length
-1,1,0,260.800000000000011, ,0,אשדוד,0070,אשדוד,0070,-1, ,-1,כיכר שדרות הים התיכון,631199.560000000055879,163844.100000000005821,חוף הים הדרומי,630977.119999999995343,163946.350000000005821,דר-מז,שביל (ג),שמיש,אספלט,שצ""פ,מחוץ לזכות הדרך,דו כיווני,לא רלוונטי,בשני כיווני הנסיעה,לא רלוונטי,הפרדה פיזית קלה,,לא,מדרכה,ללא,בצד אחד,180,90.000000000000000,260.800000000000011,-1.000000000000000,-1,20/07/2023 00:00:00,260.800183446290191
-1,2,0,165.759999999999991, ,0,אשדוד,0070,אשדוד,0070,שדרות הים התיכון, ,-1,כיכר דרומית,630970.359999999986030,163986.190000000002328,פינת מעגל השמחה,631057.869999999995343,164126.970000000001164,צ-מז,שביל (ג),שמיש,אספלט,עירוני משני,במדרכה בצמוד למיסעה,דו כיווני,לא רלוונטי,בשני כיווני הנסיעה,מפרדה כבדה,קו הפרדה,,כן,מדרכה,ללא,בצד אחד,220,110.000000000000000,165.759999999999991,-1.000000000000000,-1,20/07/2023 00:00:00,165.756748156154941
-1,3,0,65.159999999999997, ,0,אשדוד,0070,אשדוד,0070,שדרות הים התיכון, ,-1,פינת מעגל השמחה,631087.119999999995343,164172.589999999996508,כיכר טופז,631120.310000000055879,164228.380000000004657,צ-מז,שביל (ג),שמיש,אספלט,עירוני משני,במדרכה בצמוד למיסעה,דו כיווני,לא רלוונטי,בשני כיווני הנסיעה,מפרדה קלה,קו הפרדה,,לא,מדרכה,ללא,אין,220,110.000000000000000,65.159999999999997,-1.000000000000000,-1,20/07/2023 00:00:00,65.158851364943629
-1,4,0,78.209999999999994, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,כיכר טופז,631182.020000000018626,164239.320000000006985,כיכר טופז,631222.810000000055879,164304.720000000001164,צ-מז,שביל (ג),שמיש,אספלט,עירוני משני,במדרכה בצמוד למיסעה,דו כיווני,לא רלוונטי,בשני כיווני הנסיעה,מפרדה קלה,צמוד להולכי רגל,,לא,מדרכה,ללא,אין,160,80.000000000000000,78.209999999999994,-1.000000000000000,-1,20/07/2023 00:00:00,78.209214946043460
-1,5,0,828.250000000000000, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,כיכר השלום,631225.790000000037253,164307.380000000004657,כיכר טופז,632027.089999999967404,164511.450000000011642,צפון,שביל (ג),שמיש,אספלט,עירוני ראשי,במדרכה בצמוד למיסעה,דו כיווני,לא רלוונטי,בשני כיווני הנסיעה,מפרדה כבדה,הפרדה פיזית קלה,,לא,מדרכה,ללא,בצד אחד,200,100.000000000000000,828.250000000000000,-1.000000000000000,-1,20/07/2023 00:00:00,828.254437227586777
-1,6,0,445.240000000000009, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,כיכר טופז,631227.660000000032596,164330.040000000008149,גור מרדכי,631657.550000000046566,164438.910000000003492,צפון,שביל (ג),שמיש,אספלט,עירוני ראשי,במדרכה בצמוד למיסעה,דו כיווני,לא רלוונטי,בשני כיווני הנסיעה,מפרדה כבדה,צמוד להולכי רגל,,כן,מדרכה,ללא,בצד אחד,240,120.000000000000000,445.240000000000009,-1.000000000000000,-1,20/07/2023 00:00:00,445.243278075944147
-1,7,0,332.620000000000005, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,פינת גור מרדכי,631708.260000000009313,164453.390000000013970,פינת יצחק רבין,632029.719999999972060,164538.839999999996508,צפון,שביל (ג),שמיש,אספלט,עירוני ראשי,במדרכה בצמוד למיסעה,דו כיווני,לא רלוונטי,בשני כיווני הנסיעה,מפרדה כבדה,הפרדה פיזית קלה,,לא,מדרכה,ללא,בצד אחד,220,110.000000000000000,332.620000000000005,-1.000000000000000,-1,20/07/2023 00:00:00,332.621937434052427
-1,8,0,5.600000000000000, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,מעבר חצייה,632033.290000000037253,164534.220000000001164,מעבר חצייה,632034.430000000051223,164528.730000000010477,מערב,מעבר חציה,שמיש,אספלט,עירוני ראשי,מיסעה,חד כיווני,לא רלוונטי,בשני כיווני הנסיעה,לא רלוונטי,לא רלוונטי,,לא רלוונטי,מיסעה,ללא,לא רלוונטי,200,200.000000000000000,5.600000000000000,-1.000000000000000,-1,20/07/2023 00:00:00,5.604689612329733
-1,9,0,5.210000000000000, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,מעבר חצייה,632035.689999999944121,164520.119999999995343,מעבר חצייה,632035.939999999944121,164514.910000000003492,מערב,מעבר חציה,שמיש,אספלט,עירוני ראשי,מיסעה,חד כיווני,לא רלוונטי,בשני כיווני הנסיעה,לא רלוונטי,לא רלוונטי,,לא רלוונטי,מיסעה,ללא,לא רלוונטי,200,200.000000000000000,5.210000000000000,-1.000000000000000,-1,20/07/2023 00:00:00,5.214477194991987
-1,10,0,5.060000000000000, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,מעבר חצייה,632040.739999999990687,164551.119999999995343,מעבר חצייה,632045.500000000000000,164552.850000000005821,צפון,מעבר חציה,שמיש,אספלט,עירוני ראשי,מיסעה,חד כיווני,לא רלוונטי,בשני כיווני הנסיעה,לא רלוונטי,לא רלוונטי,,לא רלוונטי,מיסעה,ללא,לא רלוונטי,200,200.000000000000000,5.060000000000000,-1.000000000000000,-1,20/07/2023 00:00:00,5.063829101898740
-1,11,0,5.320000000000000, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,מעבר חצייה,632053.689999999944121,164556.399999999994179,מעבר חצייה,632058.780000000027940,164557.940000000002328,צפון,מעבר חציה,שמיש,אספלט,עירוני ראשי,מיסעה,חד כיווני,לא רלוונטי,בשני כיווני הנסיעה,לא רלוונטי,לא רלוונטי,,לא רלוונטי,מיסעה,ללא,לא רלוונטי,200,200.000000000000000,5.320000000000000,-1.000000000000000,-1,20/07/2023 00:00:00,5.321232619329145
-1,12,0,32.280000000000001, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,כיכר השלום,632035.410000000032596,164511.399999999994179,כיכר השלום,632066.709999999962747,164505.410000000003492,צפון,שביל (ג),שמיש,אספלט,עירוני ראשי,במדרכה בצמוד למיסעה,דו כיווני,לא רלוונטי,בשני כיווני הנסיעה,מפרדה קלה,צמוד להולכי רגל,,לא,מדרכה,ללא,אין,220,110.000000000000000,32.280000000000001,-1.000000000000000,-1,20/07/2023 00:00:00,32.284165690804940
-1,13,0,5.400000000000000, ,0,אשדוד,0070,אשדוד,0070,משה דיין, ,-1,מעבר חצייה,632066.709999999962747,164505.410000000003492,מעבר חצייה,632070.790000000037253,164508.940000000002328,צ-מז,מעבר חציה,שמיש,אספלט,עירוני ראשי,מיסעה,חד כיווני,לא רלוונטי,בשני כיווני הנסיעה,לא רלוונטי,לא רלוונטי,,לא רלוונטי,מיסעה,ללא,לא רלוונטי,200,200.000000000000000,5.400000000000000,-1.000000000000000,-1,20/07/2023 00:00:00,5.395996698587875
